LSAT,GPA,Race,resident,college,Year,Gender,admit,Black,Hispanic,Asian,White,MissingRace,URM
156,3.71,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
161,3.85,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
160,3.2,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
132,2.95, ,1,Arizona State,2006,1,0,0,0,0,0,1,0
159,3.49,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
154,2.81,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
160,2.7, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
162,3.5,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
156,3.77, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
155,3.77,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
158,3.43,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
156,3.17,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
158,3.65,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
146,3.64,Black,1,Arizona State,2006,0,0,1,0,0,0,0,1
149,3.87,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
158,3.19, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
152,2.31,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
143,2.8, ,1,Arizona State,2006,0,0,0,0,0,0,1,0
150,3.44,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
161,3.98, ,0,Arizona State,2006,0,1,0,0,0,0,1,0
161,3.33,Asian,0,Arizona State,2006,0,0,0,0,1,0,0,0
157,3.48,White,1,Arizona State,2006,1,0,0,0,0,1,0,0
146,2.97,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
153,2.79,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
155,3.08,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
160,3.14,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
144,2.75,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
156,3.44,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
160,3.75,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
151,3.72,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
143,3.12, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
146,3.92,White,1,Arizona State,2006,1,0,0,0,0,1,0,0
149,2.44, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
150,3.42,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
161,3.14,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
149,3.09,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
137,2.94,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
156,3.04,Black,0,Arizona State,2006,1,1,1,0,0,0,0,1
148,3.28, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
140,3.38, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
166,3.63,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
145,1.99,Asian,0,Arizona State,2006,0,0,0,0,1,0,0,0
163,3.92,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
158,3.11,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
149,3.07,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
148,2.86,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
154,3.31,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
150,3.28,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
150,3.5,Black,0,Arizona State,2006,1,0,1,0,0,0,0,1
146,3.78,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
153,3.01, ,1,Arizona State,2006,0,0,0,0,0,0,1,0
143,3.38,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
153,3.73,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
158,3.19,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
154,3.25, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
148,3.65, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
145,3.5,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
151,3.36,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
154,3.66,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
154,2.85,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
159,3.37,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
159,3.62, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
148,2.2,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
154,3.28, ,1,Arizona State,2006,0,0,0,0,0,0,1,0
155,2.87,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
163,3.19, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
158,3.81,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
148,2.9,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
140,3.01, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
140,3.38,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
161,3.33, ,1,Arizona State,2006,1,0,0,0,0,0,1,0
158,3.17,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
144,2.02,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
154,3.7,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
154,3.61,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
152,3.89,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
153,3.2,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
145,3.61,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
152,2.91, ,0,Arizona State,2006,0,1,0,0,0,0,1,0
132,2.68,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
157,2.67,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
141,4,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
158,3.07,Hispanic,1,Arizona State,2006,0,0,0,1,0,0,0,1
153,3.12,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
153,2.92, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
162,3.42,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
156,3.18,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
150,3.29,Hispanic,1,Arizona State,2006,0,0,0,1,0,0,0,1
155,3.71,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
156,3.91,White,1,Arizona State,2006,1,1,0,0,0,1,0,0
155,3.27,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
154,3.1,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
